b	var_all	var_sender	bcount
a	9.061900056782267e-06	0.0004842458677685954	8525
ana	0.017236072637734686	0.0	67
ana₃	0.017236072637734686	0.0	1
ar	0.23880301228696	3.4088307195033725	92
ar₂	0.23880301228696	3.4088307195033725	62
aš	0.20636935505375234	3.9680482795106777	392
aš₂	0.20636935505375234	3.9680482795106777	427
a₂	9.061900056782264e-06	0.0004842458677685951	1
be	0.0370442303126598	0.9091190427128857	1212
be₂	0.03704423031265979	0.9091190427128857	54
bil	0.24793388429752072	1.1844444444444444	18
bil₂	0.2479338842975206	1.1844444444444444	15
da	0.007575316123769008	0.42106009070294786	680
dak	0.16000000000000003	0.0	21
dak₃	0.16000000000000006	0.0	4
dal	0.07638888888888888	0.0	13
dal₃	0.07638888888888888	0.0	1
daq	0.24489795918367344	0.0	3
daq₃	0.2448979591836735	0.0	4
da₃	0.007575316123769008	0.42106009070294786	3
du	0.03081866217424823	0.6743528778085565	456
dul	0.15785154523893263	2.263102824953189	137
dul₆	0.15785154523893263	2.263102824953189	39
du₆	0.03081866217424823	0.6743528778085565	20
gal	0.038400000000000004	0.0	28
gal₃	0.038400000000000004	0.0	1
gir	0.09798177083333333	0.5871598639455783	9
gir₂	0.09798177083333334	0.5871598639455782	83
gur	0.23615916955017296	0.9097222222222222	14
gur₂	0.23615916955017296	0.9097222222222222	23
hir	0.17993079584775087	0.25	13
hir₂	0.17993079584775085	0.25	4
i	0.00012111642852884854	0.007346938775510205	2416
ia	0.10486456085426532	3.9457954430762037	1742
ia₂	0.10486456085426532	3.945795443076204	428
il	0.06719237174036281	1.2001396281429781	319
il₃	0.06719237174036283	1.2001396281429781	24
in	0.028014053254437867	0.2775	133
in₆	0.028014053254437867	0.2775	7
i₃	0.00012111642852884857	0.007346938775510202	2
ka	2.9662965152372304e-05	0.0009255402841408677	1513
kal	0.035665294924554176	0.5833333333333334	129
kal₃	0.03566529492455418	0.5833333333333334	4
kam	0.02082390221819828	0.22222222222222224	52
kam₂	0.02082390221819828	0.22222222222222224	1
ka₂	2.966296515237229e-05	0.000925540284140867	1
kin	0.24489795918367346	0.25	4
kin₂	0.24489795918367344	0.25	3
kir	0.12244897959183675	0.0	6
kir₃	0.12244897959183676	0.0	1
ku	0.0010543001024000901	0.07403402537485583	1004
ku₃	0.0010543001024000895	0.07403402537485582	3
lah₂	0.12244897959183676	0.0	3
lah₃	0.12244897959183675	0.0	18
li	0.17523559795183466	5.544045347070316	701
li₂	0.17523559795183466	5.544045347070316	1191
me	0.00047290970943478683	0.0040301764278696224	691
me₂	0.0004729097094347868	0.0040301764278696224	3
mi	0.1715523594036563	2.9715887878964615	227
mi₃	0.1715523594036563	2.971588787896462	69
pil	0.2448979591836735	0.25	10
pil₂	0.24489795918367344	0.25	15
qi	0.06541554471709936	1.0533182859683323	196
qi₂	0.06541554471709936	1.0533182859683323	16
rig	0.011362135024441802	0.26937500000000003	193
rig₂	0.011362135024441802	0.26937500000000003	2
tu	0.19651080880040533	5.834768834183514	441
tu₂	0.19651080880040536	5.834768834183514	533
u	0.11902751795541629	4.636948958683208	1506
ur	0.008848852040816327	0.25	141
ur₂	0.008848852040816327	0.25	1
u₂	0.11983864089691529	4.6134379907441305	1846
u₃	0.02628920373544916	0.8549137812322736	256
ša	0.06261231265146482	2.5468148918996385	2827
šar	0.0326530612244898	0.055555555555555566	44
šar₂	0.03265306122448979	0.05555555555555555	3
ša₂	0.06261231265146482	2.5468148918996385	439
šu	0.12933606176018975	5.310612886640115	748
šum	0.16783433566867134	1.7993004368597976	35
šum₂	0.16783433566867134	1.7993004368597976	158
šu₂	0.12933606176018975	5.310612886640115	1762
ṭe	0.01995569795498596	0.215363321799308	4
ṭe₂	0.012420394762865394	0.41000000000000003	2
ṭe₃	0.03182231715517582	0.625363321799308	210
ṭi	0.24146559964766356	3.4801804307536592	91
ṭi₂	0.24146559964766356	3.4801804307536592	106
